"","terms","count","probability"
"1","south carolina gamecock histori",4,0.04
"2","“young black latino men",3,0.03
"3","inputbyt inch expect block",3,0.03
"4","actual thought minut mayb",2,0.02
"5","april tualiti commun hospit",2,0.02
"6","bake sheet bake minut",2,0.02
"7","black latino men won’t",2,0.02
"8","check inputbyt inch expect",2,0.02
"9","chocol chip walnut raisin",2,0.02
"10","citi perform arts center",2,0.02
"11","counti execut ed fitzgerald",2,0.02
"12","cuyahoga counti common plea",2,0.02
"13","depart job famili servic",2,0.02
"14","didn’t think anyth wrong",2,0.02
"15","e moor michel l",2,0.02
"16","entertain cochairman chief execut",2,0.02
"17","event will take place",2,0.02
"18","expect block size let",2,0.02
"19","film entertain cochairman chief",2,0.02
"20","finest paper heinrich co",2,0.02
"21","fox film entertain cochairman",2,0.02
"22","go miss game knew",2,0.02
"23","inch check inputbyt inch",2,0.02
"24","inch expect block size",2,0.02
"25","kenneth e moor michel",2,0.02
"26","late s earli s",2,0.02
"27","latino men won’t make",2,0.02
"28","mama told come said",2,0.02
"29","mark finest paper heinrich",2,0.02
"30","martha stewart punch snowflak",2,0.02
"31","men won’t make past",2,0.02
"32","new york mercantil exchang",2,0.02
"33","new york new jersey",2,0.02
"34","one board bag contain",2,0.02
"35","one man kill anoth",2,0.02
"36","oz thing cool whip",2,0.02
"37","paid cash squarefoot home",2,0.02
"38","root beer extract one",2,0.02
"39","said “young black latino",2,0.02
"40","st loui counti circuit",2,0.02
"41","supervis book havent read",2,0.02
"42","ticketti boo ticketti boo",2,0.02
"43","trade new york mercantil",2,0.02
"44","trust paid cash squarefoot",2,0.02
"45","union citi perform arts",2,0.02
"46","use daili bread design",2,0.02
"47","wide receiv brian quick",2,0.02
"48","won’t make past <U+2033>",2,0.02
